tecnica,valor,best_val_loss,best_epoch
L1,0.0001,0.4754262864589691,2628
L1,0.0005,0.5030837655067444,2612
L1,0.001,0.5737510919570923,595
L1,0.005,0.7979834079742432,1
L1,0.01,0.7923620939254761,42
L2,0.0001,0.4762701094150543,2441
L2,0.0005,0.4856003522872925,2625
L2,0.001,0.5647731423377991,2961
L2,0.005,0.5949649810791016,949
L2,0.01,0.7971362471580505,105
Dropout,0.1,0.5903213620185852,2811
Dropout,0.2,0.6892257332801819,2665
Dropout,0.3,0.7390874624252319,2798
Dropout,0.4,0.7629839777946472,2857
Dropout,0.5,0.7655726671218872,64
Momentum,0.5,0.44669753313064575,2543
Momentum,0.7,0.4368841052055359,2050
Momentum,0.9,0.5597915649414062,75
Momentum,0.95,0.6344525814056396,19
Momentum,0.99,0.7660863399505615,2041
