arquitetura,layer_sizes,n_parametros,learning_rate,epochs,batch_size,loss_treino_final,loss_val_final,loss_val_minima,epoca_melhor_val,divergiu
2x32-16,"[1, 32, 16, 1]",609,0.05,500,8,0.22739936411380768,0.5672187805175781,0.5516698360443115,498,False
2x32-16,"[1, 32, 16, 1]",609,0.1,500,8,0.21122102439403534,0.5904855728149414,0.5630996227264404,346,False
2x16-8,"[1, 16, 8, 1]",177,0.1,500,8,0.21215413510799408,0.5930382609367371,0.5688992142677307,472,False
1x16,"[1, 16, 1]",49,0.1,500,8,0.2489345371723175,0.6357249021530151,0.6139591932296753,484,False
1x32,"[1, 32, 1]",97,0.1,500,8,0.2532232701778412,0.6383363604545593,0.6170819997787476,484,False
1x64,"[1, 64, 1]",193,0.1,500,8,0.25512203574180603,0.6428105235099792,0.6236808896064758,484,False
1x64,"[1, 64, 1]",193,0.05,500,8,0.2786301374435425,0.6635667085647583,0.6490262150764465,464,False
1x16,"[1, 16, 1]",49,0.05,500,8,0.26675236225128174,0.6767415404319763,0.6520602107048035,485,False
1x8,"[1, 8, 1]",25,0.1,500,8,0.2525681257247925,0.6717624068260193,0.6526848077774048,498,False
1x32,"[1, 32, 1]",97,0.05,500,8,0.2765868008136749,0.6800671219825745,0.6559608578681946,490,False
2x16-8,"[1, 16, 8, 1]",177,0.05,500,8,0.25608786940574646,0.6869962215423584,0.6731285452842712,498,False
1x8,"[1, 8, 1]",25,0.05,500,8,0.27709266543388367,0.6941123604774475,0.6794617772102356,498,False
1x64,"[1, 64, 1]",193,0.01,500,8,0.30935776233673096,0.7512313723564148,0.7335993051528931,498,False
1x32,"[1, 32, 1]",97,0.01,500,8,0.3131715655326843,0.7601507306098938,0.7518731951713562,498,False
1x8,"[1, 8, 1]",25,0.5,500,8,0.3409326374530792,0.8189688920974731,0.7552403807640076,4,False
2x32-16,"[1, 32, 16, 1]",609,0.01,500,8,0.31418707966804504,0.7713500261306763,0.7685618996620178,498,False
1x16,"[1, 16, 1]",49,0.01,500,8,0.3208952248096466,0.7746323943138123,0.772957444190979,498,False
1x8,"[1, 8, 1]",25,0.01,500,8,0.32331979274749756,0.78255295753479,0.7820721864700317,498,False
2x16-8,"[1, 16, 8, 1]",177,0.01,500,8,0.3254798352718353,0.7858778834342957,0.7849083542823792,498,False
1x8,"[1, 8, 1]",25,1.0,500,8,,,,7,True
1x16,"[1, 16, 1]",49,1.0,500,8,,,,5,True
1x16,"[1, 16, 1]",49,0.5,500,8,,,,7,True
1x32,"[1, 32, 1]",97,1.0,500,8,,,,5,True
1x32,"[1, 32, 1]",97,0.5,500,8,,,,5,True
1x64,"[1, 64, 1]",193,1.0,500,8,,,,4,True
1x64,"[1, 64, 1]",193,0.5,500,8,,,,5,True
2x16-8,"[1, 16, 8, 1]",177,1.0,500,8,,,,6,True
2x16-8,"[1, 16, 8, 1]",177,0.5,500,8,,,,10,True
2x32-16,"[1, 32, 16, 1]",609,1.0,500,8,,,,5,True
2x32-16,"[1, 32, 16, 1]",609,0.5,500,8,,,,7,True
