modelo,conjunto,MAE,MSE,RMSE,R2,melhor_epoca
Baseline,treino,0.3190987706184387,0.15175208449363708,0.3895536991143032,0.5884842872619629,2701
Baseline,validação,0.5485156774520874,0.4775465130805969,0.6910474029186399,0.3766409754753113,2701
Baseline,teste,0.48870670795440674,0.38164910674095154,0.6177775544165971,0.2596631646156311,2701
Baseline + L1,treino,0.3207857310771942,0.1530744731426239,0.39124732988561584,0.5848982930183411,2628
Baseline + L1,validação,0.5290987491607666,0.4754263162612915,0.6895116505624046,0.3794085383415222,2628
Baseline + L1,teste,0.5055863261222839,0.41201648116111755,0.6418850996565644,0.20075541734695435,2628
Baseline + L2,treino,0.326042115688324,0.1563108116388321,0.39536162135294833,0.5761221051216125,2441
Baseline + L2,validação,0.5395048260688782,0.4762701094150543,0.6901232566832205,0.3783071041107178,2441
Baseline + L2,teste,0.4965819716453552,0.3966591954231262,0.62980885625968,0.23054605722427368,2441
Baseline + Dropout,treino,0.3968278169631958,0.22791823744773865,0.47740783136406406,0.38193970918655396,2811
Baseline + Dropout,validação,0.6433629989624023,0.5903213620185852,0.7683237351654478,0.22943180799484253,2811
Baseline + Dropout,teste,0.5739985108375549,0.508779764175415,0.7132879952553632,0.013050436973571777,2811
Baseline + Momentum,treino,0.27561235427856445,0.128546804189682,0.3585342440962676,0.6514115333557129,2050
Baseline + Momentum,validação,0.5138758420944214,0.4368841052055359,0.660972091094273,0.42971909046173096,2050
Baseline + Momentum,teste,0.5013213753700256,0.4170369505882263,0.6457839813654612,0.1910165548324585,2050
